word,sentiment,weight,freq_corpus
damn,negative,1.88,833
dance,positive,1.604,216
dancing,positive,1.559,173
danger,negative,1.921,1017
dangerous,negative,2.152,3141
dangers,negative,1.629,244
dare,ambiguous,1.797,554
dark,negative,1.75,442
data,positive,2.434,12417
database,positive,1.574,187
daughter,positive,2.051,1919
daughters,positive,1.655,277
dead,negative,2.126,2768
deadly,negative,2.002,1506
deal,positive,2.059,1990
dealing,positive,1.826,641
deals,positive,1.554,169
dealt,positive,1.554,169
dear,positive,1.935,1088
death,negative,2.349,8194
deaths,negative,2.42,11596
debate,positive,1.919,1006
debating,positive,1.5,130
debt,negative,1.605,217
debunked,positive,1.553,168
decent,positive,1.794,547
decide,positive,1.947,1154
decided,positive,1.997,1471
decides,positive,1.579,191
deciding,positive,1.593,205
decision,positive,2.114,2602
decisions,positive,1.947,1154
declaration,ambiguous,1.543,160
declare,negative,1.566,179
declared,negative,1.583,195
declaring,negative,1.464,109
decline,negative,1.717,375
declined,negative,1.588,200
declining,negative,1.502,131
decrease,ambiguous,1.619,233
decreases,ambiguous,1.441,97
decreasing,ambiguous,1.439,96
dedicated,positive,1.591,203
deemed,negative,1.613,226
deep,negative,1.801,566
deeper,negative,1.494,126
deeply,negative,1.643,261
default,negative,1.613,226
defeat,negative,1.618,231
defence,negative,1.798,559
defend,positive,1.697,340
defending,positive,1.582,194
defense,positive,1.616,229
define,positive,1.584,196
definitely,ambiguous,2.115,2617
definition,positive,1.915,986
degree,positive,1.755,452
degrees,positive,1.51,136
delay,negative,1.89,872
delayed,negative,1.837,676
delaying,negative,1.587,199
delays,negative,1.664,290
delete,negative,1.499,129
deleted,negative,1.561,175
deliberate,negative,1.578,190
deliberately,negative,1.722,385
delighted,positive,1.646,265
deliver,positive,1.86,755
delivered,positive,1.878,824
deliveries,positive,1.543,160
delivering,positive,1.741,423
delivery,positive,1.862,764
delta,negative,2.199,3951
deluded,negative,1.616,229
delusional,negative,1.543,160
demand,positive,1.965,1259
demanding,positive,1.684,320
demands,positive,1.581,193
dementia,negative,1.514,139
democracy,positive,1.709,361
democratic,positive,1.54,158
democrats,positive,1.597,209
demonising,negative,1.357,64
demonstrate,positive,1.609,221
demonstrated,positive,1.496,127
demonstrating,positive,1.416,86
demonstration,negative,1.554,169
denial,negative,1.711,364
denied,negative,1.782,516
denier,negative,1.75,441
deniers,negative,1.88,832
deny,negative,1.805,578
denying,negative,1.796,552
depend,negative,1.543,160
dependent,negative,1.63,246
depending,negative,1.704,352
depends,negative,1.841,687
deployed,positive,1.511,137
depopulation,negative,1.546,163
depressed,negative,1.518,142
depressing,negative,1.635,251
depression,negative,1.635,252
describe,positive,1.614,227
described,positive,1.62,234
description,positive,1.508,135
deserve,negative,1.84,686
deserved,negative,1.528,149
deserves,negative,1.666,292
design,positive,1.671,300
designed,positive,1.972,1303
desire,positive,1.523,145
despair,negative,1.535,154
desperate,negative,1.875,813
desperately,negative,1.647,267
desperation,negative,1.557,172
despite,negative,2.172,3451
destroy,negative,1.884,848
destroyed,negative,1.723,386
destroying,negative,1.742,425
destroys,negative,1.57,183
destruction,negative,1.57,183
detail,positive,1.627,242
detailed,positive,1.539,157
details,positive,2.083,2238
detected,positive,1.556,171
detecting,positive,1.434,94
determine,positive,1.612,225
determined,positive,1.592,204
devastating,negative,1.632,248
develop,ambiguous,1.924,1031
developed,ambiguous,2.026,1694
developing,ambiguous,1.876,818
development,positive,1.867,780
devolved,positive,1.546,163
diabetes,negative,1.594,206
diagnosed,negative,1.704,353
diagnosis,negative,1.655,277
dick,negative,1.631,247
didn't,negative,0.5,0
die,negative,2.304,6586
